                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.86325,                0.69533,                 1.2487,                0.90696,                0.88575,                0.94705,                0.53397,                 1.3932,                0.74224,                 1.6656,             0.00071154,             0.00071154,             0.00071154
                     73,                0.83537,                0.69225,                  1.233,                0.90893,                0.77361,                0.87784,                0.53912,                 1.3795,                0.72594,                 1.7077,             0.00070143,             0.00070143,             0.00070143
                     74,                0.82242,                0.67849,                 1.2135,                0.81739,                0.88639,                0.87385,                0.53748,                 1.3108,                0.81168,                 1.6601,             0.00069133,             0.00069133,             0.00069133
                     75,                0.82457,                0.68121,                 1.2171,                0.86574,                0.84418,                0.87831,                0.50464,                 1.3615,                0.76468,                 1.6908,             0.00068122,             0.00068122,             0.00068122
                     76,                0.81816,                0.67527,                 1.2232,                0.93558,                0.82222,                0.90975,                0.52412,                 1.3796,                0.71387,                 1.7261,             0.00067112,             0.00067112,             0.00067112
                     77,                0.77074,                0.64647,                 1.1841,                0.89677,                0.86097,                 0.9136,                0.53415,                 1.4406,                0.69404,                 1.7716,             0.00066101,             0.00066101,             0.00066101
                     78,                0.79184,                0.63553,                 1.1929,                0.86001,                0.83499,                0.85447,                0.51763,                 1.3146,                0.89864,                 1.6316,             0.00065091,             0.00065091,             0.00065091
                     79,                0.81142,                0.63025,                 1.1895,                0.92878,                0.87728,                0.91962,                0.53489,                 1.3279,                0.71897,                 1.6563,              0.0006408,              0.0006408,              0.0006408
                     80,                0.75488,                0.60255,                 1.1837,                0.87518,                0.81807,                0.89229,                0.51836,                 1.3806,                0.74554,                 1.6417,              0.0006307,              0.0006307,              0.0006307
                     81,                0.78604,                 0.6064,                 1.1883,                 0.9242,                0.86547,                0.90207,                0.51712,                 1.3563,                0.80554,                 1.6151,             0.00062059,             0.00062059,             0.00062059
                     82,                0.77327,                0.60611,                 1.1815,                0.74594,                0.91808,                0.88596,                0.50915,                 1.3786,                  0.788,                  1.684,             0.00061049,             0.00061049,             0.00061049
                     83,                0.76513,                 0.6004,                 1.1907,                0.86302,                0.87871,                0.90738,                0.52781,                 1.3808,                0.75188,                 1.7153,             0.00060038,             0.00060038,             0.00060038
                     84,                0.77872,                 0.6048,                 1.1874,                0.88851,                0.82928,                0.90497,                0.53352,                 1.4593,                0.70544,                 1.8184,             0.00059028,             0.00059028,             0.00059028
                     85,                0.76919,                0.61794,                 1.1747,                0.92819,                0.78142,                0.91005,                 0.5057,                 1.4716,                0.78702,                 1.8507,             0.00058017,             0.00058017,             0.00058017
                     86,                0.75966,                0.60388,                 1.1725,                0.83185,                0.86669,                0.90659,                 0.5194,                 1.4503,                0.77307,                 1.8055,             0.00057007,             0.00057007,             0.00057007
                     87,                0.76661,                0.60079,                 1.1906,                0.80253,                0.79551,                0.80975,                0.48205,                 1.4361,                0.81621,                 1.7515,             0.00055996,             0.00055996,             0.00055996
                     88,                0.78066,                0.61047,                 1.1984,                0.81055,                0.85677,                0.86675,                0.51334,                 1.3718,                0.78613,                 1.6903,             0.00054986,             0.00054986,             0.00054986
                     89,                 0.7343,                 0.5941,                 1.1756,                0.90301,                0.92296,                0.91779,                   0.56,                 1.3524,                0.70163,                 1.6127,             0.00053975,             0.00053975,             0.00053975
                     90,                0.76938,                0.62597,                 1.1894,                0.92201,                0.87176,                0.88393,                0.55702,                 1.3179,                0.69275,                 1.6334,             0.00052965,             0.00052965,             0.00052965
                     91,                0.72384,                0.57206,                 1.1477,                0.91407,                0.80893,                  0.888,                0.54502,                 1.2873,                0.75803,                 1.5727,             0.00051954,             0.00051954,             0.00051954
                     92,                 0.7148,                0.56741,                 1.1559,                0.91805,                0.88984,                0.92961,                0.53566,                 1.3559,                0.69486,                   1.73,             0.00050944,             0.00050944,             0.00050944
                     93,                0.70333,                0.55682,                 1.1454,                0.93521,                0.95329,                0.95792,                0.55791,                 1.3236,                0.67699,                 1.7283,             0.00049933,             0.00049933,             0.00049933
                     94,                0.73504,                0.55399,                 1.1605,                0.96178,                 0.8608,                0.93036,                0.57294,                 1.3502,                0.71834,                 1.7032,             0.00048923,             0.00048923,             0.00048923
                     95,                0.68617,                 0.5182,                 1.1289,                0.93031,                0.84958,                0.91848,                0.54755,                 1.3904,                0.68099,                 1.6721,             0.00047912,             0.00047912,             0.00047912
                     96,                0.74418,                0.57502,                 1.1564,                0.86448,                0.87852,                0.93206,                0.55707,                 1.3249,                0.69754,                 1.6572,             0.00046902,             0.00046902,             0.00046902
                     97,                 0.7206,                0.55045,                 1.1442,                0.89055,                0.84593,                0.88427,                0.54422,                 1.3195,                0.79831,                 1.6536,             0.00045891,             0.00045891,             0.00045891
                     98,                0.70779,                0.54109,                 1.1441,                0.91755,                0.87524,                 0.9331,                0.57564,                 1.3223,                0.70713,                 1.6572,             0.00044881,             0.00044881,             0.00044881
                     99,                0.71261,                0.55581,                 1.1444,                0.85587,                0.93921,                0.93626,                0.56536,                 1.4355,                0.63588,                 1.8557,              0.0004387,              0.0004387,              0.0004387
                    100,                0.70688,                0.53832,                 1.1338,                 0.8699,                0.80889,                0.86714,                0.51899,                 1.3488,                0.75135,                  1.738,              0.0004286,              0.0004286,              0.0004286
                    101,                   0.69,                0.53896,                 1.1245,                0.91949,                0.81798,                 0.8986,                 0.5538,                 1.3231,                 0.6957,                 1.6908,             0.00041849,             0.00041849,             0.00041849
                    102,                0.67562,                0.53315,                 1.1351,                0.95903,                 0.8581,                0.94017,                0.57861,                 1.3599,                0.60371,                 1.6482,             0.00040839,             0.00040839,             0.00040839
                    103,                0.70417,                 0.5365,                 1.1446,                0.86207,                0.85534,                0.90128,                0.56369,                 1.3534,                0.69671,                 1.6742,             0.00039828,             0.00039828,             0.00039828
                    104,                0.69656,                0.51961,                  1.141,                0.94561,                0.87786,                0.92011,                0.55161,                 1.2862,                0.70027,                 1.6276,             0.00038818,             0.00038818,             0.00038818
                    105,                0.68741,                0.49726,                 1.1483,                0.96295,                0.86222,                0.92941,                0.54963,                   1.32,                0.65169,                 1.7117,             0.00037807,             0.00037807,             0.00037807
                    106,                  0.662,                0.50013,                 1.1218,                0.96054,                0.83424,                0.89873,                0.55818,                 1.3081,                0.66833,                 1.6322,             0.00036797,             0.00036797,             0.00036797
                    107,                0.66131,                0.50402,                  1.113,                0.91006,                0.88593,                0.91822,                   0.55,                 1.3991,                0.74142,                 1.7768,             0.00035786,             0.00035786,             0.00035786
                    108,                0.64681,                0.49124,                  1.113,                0.90597,                0.86046,                0.90412,                 0.5528,                 1.3155,                0.74971,                   1.66,             0.00034776,             0.00034776,             0.00034776
                    109,                0.64783,                0.49024,                 1.1059,                0.95388,                0.88617,                0.94523,                0.57674,                 1.2904,                0.65406,                 1.6492,             0.00033765,             0.00033765,             0.00033765
                    110,                0.63244,                0.48652,                 1.0986,                0.96259,                0.83196,                0.93438,                 0.5669,                  1.393,                0.65515,                  1.766,             0.00032755,             0.00032755,             0.00032755
                    111,                0.65859,                0.51518,                 1.1177,                0.93538,                0.88385,                0.94416,                0.56252,                 1.3614,                0.60976,                 1.8021,             0.00031744,             0.00031744,             0.00031744
                    112,                0.63354,                0.47718,                 1.1068,                0.90345,                0.90522,                0.93502,                0.54604,                 1.3791,                0.63632,                 1.7591,             0.00030734,             0.00030734,             0.00030734
                    113,                0.64602,                0.47939,                 1.1143,                0.93713,                0.90458,                0.92686,                0.55259,                 1.3715,                0.66235,                 1.7913,             0.00029723,             0.00029723,             0.00029723
